contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
bedevere-bot,test,Bot,300,2,2,1,0.5,150.0,150.0,210.718,0.497,149.0,150.0,150.0,210.718,0.497,149.0,100.0,94.0,102.132,0.453,102.0,1.0,1.0,0.0,0.0,0.0,685.395,870.034,614.254,0.077,593.076,2.207,2.207,3.1,0.497,2.192,6.892,1.851,13.485,0.737,6.738,2.207,2.207,3.1,0.497,2.192
dims,test,Human,244,10,30,11,0.367,8.133,2.0,20.372,0.742,3.75,24.4,10.0,34.696,0.628,31.25,1.638,1.0,1.264,0.307,1.0,1.767,1.0,1.331,0.329,1.0,1.049,0.0,3.586,0.768,0.017,2.675,0.805,4.765,0.731,2.312,2.272,0.291,4.483,0.777,1.85,2.682,0.651,4.919,0.742,2.271
authelia[bot],test,Bot,129,1,2,1,0.5,64.5,64.5,84.146,0.461,59.5,129.0,129.0,0.0,0.0,0.0,18.429,3.0,29.999,0.682,18.0,1.0,1.0,0.0,0.0,0.0,307.467,23.482,631.126,0.674,186.543,6.173,2.416,8.78,0.611,5.376,17.104,9.155,28.945,0.648,22.236,,,0.0,0.0,
helmich-bot,test,Bot,31,3,1,1,1.0,31.0,31.0,0.0,0.0,0.0,10.333,9.0,2.309,0.086,2.0,31.0,31.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1512.065,1512.065,0.0,0.0,0.0,,,0.0,0.0,,50.402,0.0,146.376,0.885,0.0,54.002,0.0,151.034,0.875,0.0
rakutentech-danger-bot,test,Bot,8,2,2,1,0.5,4.0,4.0,1.414,0.125,1.0,4.0,4.0,4.243,0.375,3.0,2.0,1.5,1.414,0.312,1.5,1.5,1.5,0.707,0.167,0.5,357.505,8.943,703.137,0.487,366.448,186.67,144.766,202.075,0.473,198.79,284.29,234.892,250.835,0.461,383.396,13.359,13.359,6.402,0.169,4.527
avo-bot,test,Bot,93,2,3,1,0.333,31.0,6.0,47.697,0.609,42.5,46.5,46.5,50.205,0.382,35.5,8.455,4.0,9.158,0.543,13.0,1.667,2.0,0.577,0.133,0.5,153.69,51.348,184.637,0.454,311.17,41.519,22.148,52.703,0.559,46.534,22.889,8.632,33.611,0.663,26.923,36.82,25.51,40.172,0.503,40.879
marjan-georgiev,test,Human,48,8,7,5,0.714,6.857,1.0,10.04,0.619,9.5,6.0,4.5,5.806,0.37,1.0,3.429,1.0,3.413,0.482,5.5,2.571,1.0,2.699,0.444,2.5,2.352,0.0,4.028,0.435,3.165,119.932,31.486,159.096,0.636,306.252,33.873,0.094,97.476,0.888,5.359,42.176,0.075,110.258,0.873,1.958
scrum,test,Human,53,7,6,6,1.0,8.833,1.0,17.759,0.72,2.25,7.571,5.0,7.656,0.507,11.5,5.3,2.0,7.227,0.587,3.75,2.0,1.0,1.549,0.333,2.25,50.501,0.007,159.48,0.833,0.098,53.433,0.02,116.802,0.823,0.81,18.96,0.01,70.766,0.937,0.012,14.574,0.01,59.47,0.946,0.011
borisbat,test,Human,222,8,6,2,0.333,37.0,1.5,85.264,0.8,4.0,27.75,15.0,30.16,0.546,50.5,13.059,2.0,17.69,0.644,23.0,2.167,1.0,2.858,0.449,0.0,69.519,0.193,132.641,0.641,91.047,2.486,0.137,5.037,0.799,0.71,5.528,0.25,13.706,0.839,2.762,4.167,0.235,9.663,0.839,1.5
yuripourre,test,Human,38,11,21,18,0.857,1.81,1.0,1.632,0.361,0.0,3.455,2.0,4.009,0.512,2.5,1.462,1.0,1.303,0.279,0.0,1.286,1.0,0.644,0.187,0.0,20.609,0.0,94.922,0.749,0.0,62.514,44.617,74.246,0.579,84.571,56.721,12.181,98.212,0.716,65.282,62.314,7.941,117.917,0.761,87.497
ariamoradi,test,Human,30,13,12,8,0.667,2.5,1.0,3.425,0.483,1.0,2.308,2.0,1.109,0.256,2.0,2.0,1.0,2.619,0.431,0.5,1.917,1.0,1.73,0.359,1.0,5.041,0.0,18.899,0.734,0.0,57.853,13.359,79.299,0.66,86.093,30.536,2.005,61.045,0.801,21.367,31.626,2.053,61.877,0.793,26.818
va-cms-bot,test,Bot,300,2,2,1,0.5,150.0,150.0,206.475,0.487,146.0,150.0,150.0,207.889,0.49,147.0,33.333,3.0,62.728,0.744,33.0,1.5,1.5,0.707,0.167,0.5,45.982,0.544,98.358,0.654,24.536,3.356,0.886,5.003,0.667,4.045,1.474,0.099,4.265,0.868,0.392,1.091,0.898,1.067,0.475,1.767
moz-wptsync-bot,test,Bot,196,6,2,1,0.5,98.0,98.0,73.539,0.265,52.0,32.667,36.0,21.011,0.325,31.75,6.759,4.0,7.318,0.489,7.0,4.0,4.0,2.828,0.25,2.0,12.909,0.112,41.373,0.879,8.658,5.77,4.52,5.956,0.522,6.546,2.748,0.03,8.56,0.862,1.352,2.831,0.01,8.683,0.859,1.447
