contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
docusaurus-bot,test,Bot,135,1,2,2,1.0,67.5,67.5,43.134,0.226,30.5,135.0,135.0,0.0,0.0,0.0,2.077,1.0,1.955,0.391,2.0,1.0,1.0,0.0,0.0,0.0,21.582,0.0,42.804,0.407,24.134,11.455,8.48,7.936,0.362,16.278,15.94,20.165,8.785,0.294,19.841,,,0.0,0.0,
chii-bot[bot],test,Bot,280,6,2,1,0.5,140.0,140.0,131.522,0.332,93.0,46.667,9.5,92.796,0.699,6.0,5.385,2.0,7.01,0.592,5.25,6.0,6.0,0.0,0.0,0.0,16.18,0.022,28.376,0.607,26.856,3.952,2.594,4.195,0.558,5.422,3.738,1.916,5.536,0.653,4.415,1.556,0.001,3.164,0.762,1.538
aws-sdk-go-automation,test,Bot,217,7,2,1,0.5,108.5,108.5,152.028,0.495,107.5,31.0,39.0,15.503,0.216,11.0,72.333,20.0,107.519,0.599,97.5,4.0,4.0,4.243,0.375,3.0,447.527,71.76,713.896,0.447,635.411,0.259,0.259,0.055,0.075,0.039,6.218,0.0,15.997,0.841,0.001,6.246,0.0,16.029,0.841,0.001
atlasbuildbot2,test,Bot,129,5,31,1,0.032,4.161,3.0,2.41,0.297,4.0,25.8,33.0,16.498,0.298,32.0,3.225,3.0,1.476,0.222,1.0,3.129,3.0,1.204,0.198,2.0,0.295,0.0,1.855,0.953,0.0,19.197,0.252,78.749,0.928,1.929,5.941,0.0,43.98,0.962,0.081,6.228,0.0,45.226,0.961,0.052
sphenix-bot,test,Bot,300,2,2,1,0.5,150.0,150.0,209.304,0.493,148.0,150.0,150.0,209.304,0.493,148.0,60.0,41.0,64.846,0.52,120.0,1.0,1.0,0.0,0.0,0.0,34.056,19.082,42.049,0.312,52.396,3.628,3.309,3.558,0.442,5.772,0.618,0.346,1.648,0.639,0.48,3.628,3.309,3.558,0.442,5.772
ucloud-bot,test,Bot,115,5,7,3,0.429,16.429,10.0,23.472,0.549,6.0,23.0,23.0,14.071,0.299,26.0,2.949,2.0,4.617,0.522,1.0,2.286,2.0,0.951,0.196,0.5,15.14,0.0,46.394,0.801,0.083,38.722,0.49,85.854,0.827,22.627,18.087,0.001,54.985,0.893,0.884,18.087,0.001,54.985,0.893,0.884
centeredgebot[bot],test,Bot,22,3,11,1,0.091,2.0,2.0,1.414,0.281,1.0,7.333,3.0,7.506,0.394,6.5,1.294,1.0,1.213,0.214,0.0,1.091,1.0,0.302,0.076,0.0,0.918,0.0,3.784,0.0,0.0,97.716,0.308,328.272,0.909,8.768,75.193,0.286,287.282,0.925,8.073,221.786,2.677,535.635,0.828,9.024
absolute8511,test,Human,34,11,12,8,0.667,2.833,3.0,1.749,0.324,3.25,3.091,2.0,2.468,0.406,3.5,1.619,1.0,0.865,0.255,1.0,2.0,2.0,1.044,0.271,2.0,5.754,0.0,26.33,0.888,0.015,76.758,9.792,187.488,0.783,72.13,50.181,0.066,149.701,0.848,52.712,53.415,0.118,154.033,0.838,59.781
lukabratos,test,Human,9,6,3,3,1.0,3.0,1.0,3.464,0.444,3.0,1.5,1.5,0.548,0.167,1.0,3.0,1.0,3.464,0.444,3.0,2.333,1.0,2.309,0.381,2.0,0.045,0.0,0.078,0.0,0.067,274.82,274.82,65.874,0.085,46.58,68.722,0.032,129.62,0.771,57.073,45.934,0.028,121.469,0.857,0.026
paulfalgout,test,Human,207,11,7,6,0.857,29.571,2.0,63.403,0.78,14.0,18.818,17.0,17.753,0.487,25.0,18.818,11.0,28.435,0.628,22.5,3.286,1.0,3.592,0.484,4.0,159.623,24.482,242.384,0.594,267.391,23.9,12.704,32.399,0.623,18.925,9.684,0.028,32.295,0.894,2.598,11.187,0.043,33.958,0.867,6.637
commonjava-bot,test,Bot,67,2,16,1,0.062,4.188,3.0,1.834,0.201,3.0,33.5,33.5,16.263,0.172,11.5,3.19,3.0,0.68,0.055,0.0,2.0,2.0,0.0,0.0,0.0,0.971,0.001,4.429,0.952,0.0,96.408,19.188,166.556,0.739,99.44,29.524,0.0,100.449,0.89,0.746,4.181,0.0,18.648,0.913,0.0
nextcloud-bot,test,Bot,300,1,65,18,0.277,4.615,4.0,4.422,0.456,5.0,300.0,300.0,0.0,0.0,0.0,1.852,1.0,1.277,0.326,1.0,1.0,1.0,0.0,0.0,0.0,0.002,0.0,0.003,0.382,0.002,0.892,0.07,3.886,0.907,0.109,0.481,0.012,2.882,0.948,0.079,,,0.0,0.0,
mvz,test,Human,237,14,68,46,0.676,3.485,1.0,7.404,0.618,1.0,16.929,11.5,18.78,0.569,29.5,2.155,1.5,2.198,0.391,1.0,1.779,1.0,1.348,0.322,1.0,1.995,0.0,10.188,0.895,0.001,17.706,2.521,27.196,0.711,23.264,9.107,0.082,21.252,0.836,3.376,8.631,0.063,20.274,0.84,2.289
maverobot,test,Human,121,12,70,60,0.857,1.729,1.0,2.213,0.381,0.0,10.083,2.0,19.2,0.725,2.75,1.375,1.0,1.107,0.247,0.0,1.143,1.0,0.572,0.118,0.0,0.552,0.0,2.88,0.737,0.0,23.079,11.737,31.502,0.641,26.477,17.138,4.717,28.567,0.724,21.709,16.251,7.675,24.318,0.669,21.472
dilumaluthgebot,test,Bot,105,3,2,2,1.0,52.5,52.5,24.749,0.167,17.5,35.0,35.0,2.0,0.025,2.0,1.5,1.0,0.757,0.23,1.0,1.5,1.5,0.707,0.167,0.5,3.484,0.0,19.406,0.924,0.015,25.621,0.001,60.023,0.854,13.903,19.344,0.015,51.958,0.885,0.392,18.613,0.015,52.326,0.894,0.273
pietroalbini,test,Human,300,2,3,2,0.667,100.0,1.0,171.473,0.66,148.5,150.0,150.0,210.718,0.497,149.0,60.0,35.0,81.228,0.609,65.0,1.0,1.0,0.0,0.0,0.0,1.694,0.967,2.711,0.432,1.046,0.035,0.034,0.008,0.108,0.012,0.029,0.011,0.043,0.647,0.031,0.034,0.034,0.007,0.076,0.005
bparees,test,Human,231,8,12,2,0.167,19.25,5.5,31.323,0.65,14.0,28.875,9.0,33.867,0.572,49.5,2.817,2.0,2.998,0.455,2.0,2.417,2.0,0.793,0.164,1.0,1.032,0.012,3.523,0.83,0.231,1.944,0.184,7.994,0.884,0.645,1.053,0.044,5.154,0.905,0.26,1.26,0.05,6.335,0.907,0.365
