contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
kaczmarj,train,Human,44.184,0.593,43.242,22.819,52.922,8.141,0.641,95.446,1.495,206.408,59.305,0.779,70.712,8.895,145.195,43.009,0.809,61.074,3.275,136.697,23,2.0,0.435,2.556,1.0,2.455,2.0,0.3,2.556,3.0,1.59,1.75,0.378,2.3,1.5,1.829,7,9,2.0,0.333,2.0,1.0,1.414,0.778
plasmapy-requirements-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,2016.001,2016.001,0.0,167.987,0.596,65.739,0.001,76.555,167.998,0.53,77.538,59.522,79.168,27,0.0,0.0,27.0,27.0,0.0,3.0,0.148,9.0,9.0,3.0,0.0,0.0,27.0,27.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
accesslint[bot],train,Bot,17.185,0.59,16.049,10.432,21.498,0.144,0.645,2.762,0.0,8.046,,0.0,,,0.0,14.347,0.634,13.558,6.711,19.571,90,3.0,0.474,3.333,2.0,3.669,0.0,0.0,90.0,90.0,0.0,1.0,0.219,1.385,1.0,0.764,27,1,0.0,0.0,1.0,1.0,0.0,1.0
blueztestbot,train,Bot,4.884,0.754,7.885,2.066,15.635,2.969,0.752,6.923,0.358,16.313,1.31,0.836,3.946,0.011,10.351,0.948,0.848,3.069,0.154,8.694,148,57.0,0.52,37.0,29.5,41.288,24.25,0.396,24.667,30.0,19.775,5.5,0.482,4.774,3.0,4.551,2,6,1.5,0.208,3.0,3.5,1.414,0.5
thundernest-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1200.674,1200.674,0.0,,0.0,,,0.0,1.82,0.832,4.016,0.321,10.298,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
syndace,train,Human,2.8,0.852,12.563,0.605,30.826,0.142,0.864,7.768,0.029,28.26,2.309,0.875,10.138,0.222,27.323,1.546,0.878,9.682,0.18,25.959,90,5.75,0.444,5.0,3.0,4.284,5.5,0.612,8.182,3.0,13.318,1.0,0.347,2.093,2.0,1.688,8,11,0.75,0.251,2.111,2.0,1.183,0.444
bluca,train,Human,0.657,0.784,0.981,0.224,2.313,0.214,0.895,1.507,0.0,8.306,0.477,0.885,1.562,0.122,6.432,0.433,0.871,1.129,0.161,5.278,225,20.0,0.659,18.75,4.0,27.293,21.5,0.565,20.455,15.0,26.868,1.0,0.41,2.206,1.0,2.305,4,11,2.0,0.361,2.75,2.5,2.221,0.333
dbaeumer,train,Human,1.698,0.907,11.724,0.221,40.684,0.224,0.839,1.018,0.01,3.588,0.354,0.922,2.364,0.062,10.506,0.196,0.954,4.142,0.044,23.702,152,17.25,0.429,15.2,15.0,12.282,9.0,0.641,12.667,5.0,18.416,2.0,0.468,3.04,2.0,3.608,2,12,5.25,0.397,3.9,3.0,2.961,0.2
wpmobilebot,train,Bot,1.371,0.761,2.077,0.512,6.068,0.426,0.671,0.785,0.0,2.126,0.196,0.714,0.232,0.086,0.429,1.195,0.741,1.572,0.391,4.647,240,36.75,0.539,30.0,19.0,32.955,2.0,0.763,48.0,2.0,101.745,1.0,0.329,1.818,1.0,1.591,3,5,1.75,0.375,2.125,1.0,1.808,0.375
adamscybot,train,Human,75.813,0.709,57.296,11.736,87.222,0.589,0.78,6.059,0.0,23.133,20.178,0.784,41.367,1.89,78.637,16.045,0.84,29.443,0.453,66.186,55,1.75,0.573,3.056,1.0,5.461,8.0,0.509,6.111,3.0,6.412,1.0,0.443,2.115,1.0,3.011,16,9,0.0,0.233,1.389,1.0,0.85,0.889
herpaderpaldent,train,Human,22.136,0.795,354.943,0.159,781.192,0.262,0.663,20.205,0.09,49.261,0.344,0.96,61.946,0.103,319.538,0.344,0.968,45.142,0.096,270.131,43,9.75,0.634,10.75,2.5,17.519,7.0,0.451,5.375,4.5,4.719,3.5,0.655,7.167,2.0,12.271,3,8,1.5,0.375,3.0,2.0,2.708,0.75
cocoapodsbot,train,Bot,,0.0,,,0.0,0.0,0.0,33.227,33.227,0.0,,0.0,,,0.0,0.096,0.683,0.111,0.037,0.21,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
nblumhardt,train,Human,5.249,0.84,7.395,0.213,21.121,0.006,0.893,0.625,0.0,3.848,2.088,0.879,5.754,0.11,19.602,2.112,0.878,5.205,0.109,17.517,223,6.25,0.57,5.575,2.0,6.965,19.0,0.537,15.929,13.5,16.735,1.0,0.274,1.538,1.0,1.112,12,14,2.0,0.388,2.4,2.0,1.932,0.3
schutzbot,train,Bot,9.196,0.613,5.209,2.513,6.157,0.0,0.761,1.608,0.0,7.159,5.591,0.688,3.941,1.822,5.642,8.063,0.677,5.112,2.124,7.072,268,20.0,0.47,22.333,13.0,21.398,22.5,0.434,33.5,29.0,30.071,0.0,0.207,1.333,1.0,0.723,2,8,2.25,0.282,2.583,3.0,1.379,0.167
botcerts,train,Bot,22.505,0.78,23.042,1.721,43.675,7.094,0.868,33.569,0.017,97.646,0.741,0.904,15.017,0.003,48.265,0.418,0.915,13.351,0.002,45.726,118,12.75,0.418,19.667,16.5,17.166,24.25,0.37,19.667,18.0,14.989,4.0,0.371,4.214,3.0,3.348,2,6,0.0,0.049,2.833,3.0,0.408,0.333
arcus-automation,train,Bot,58.011,0.368,114.593,106.449,86.344,14.382,0.735,166.378,1.596,426.918,120.679,0.538,101.0,81.694,106.966,110.989,0.607,74.088,31.238,90.951,26,11.0,0.564,8.667,2.0,12.423,6.0,0.231,13.0,13.0,8.485,1.5,0.549,3.714,2.0,5.469,1,2,0.5,0.167,1.333,1.0,0.577,0.333
mhchia,train,Human,16.356,0.79,22.399,2.284,47.419,5.339,0.768,15.392,0.081,38.738,27.423,0.766,23.903,2.169,46.477,6.796,0.844,11.447,0.451,30.724,141,6.25,0.731,11.75,2.5,24.691,3.5,0.691,12.818,4.0,28.361,2.0,0.529,3.279,2.0,6.025,7,11,2.0,0.427,2.583,1.5,2.429,0.583
markmhendrickson,train,Human,72.825,0.599,47.223,24.997,56.03,40.739,0.644,84.157,0.0,223.243,24.676,0.612,32.64,20.091,43.686,41.172,0.76,53.323,20.073,144.447,42,4.0,0.629,8.4,3.0,13.297,3.5,0.613,5.25,1.5,7.741,2.0,0.454,2.471,1.0,2.787,3,8,2.0,0.431,2.6,1.0,2.608,0.6
andrewhop,train,Human,13.441,0.803,13.405,0.793,28.082,3.317,0.773,13.517,0.0,39.094,9.935,0.8,11.123,0.876,24.473,3.021,0.848,8.789,0.479,23.719,171,26.0,0.623,28.5,12.5,41.235,42.0,0.529,34.2,9.0,40.413,2.0,0.527,3.054,1.0,4.494,5,5,0.75,0.241,1.5,1.0,0.837,0.833
floryst,train,Human,19.635,0.777,15.728,2.296,30.959,0.372,0.846,16.43,0.034,52.156,2.658,0.885,10.748,0.116,35.061,2.455,0.886,9.14,0.105,31.153,235,3.0,0.757,18.077,2.0,34.311,36.75,0.52,19.583,15.5,19.341,2.0,0.507,3.507,2.0,4.419,9,12,3.0,0.477,3.077,1.0,3.148,0.692
5imon-bot,train,Bot,120.699,0.633,88.311,31.839,123.493,58.644,0.581,41.609,0.768,67.335,1.085,0.798,43.487,0.004,96.631,30.346,0.808,34.317,1.019,75.855,59,9.25,0.436,14.75,7.5,16.215,26.5,0.599,19.667,2.0,30.6,4.0,0.397,3.688,3.5,2.798,1,3,0.5,0.25,1.5,1.0,1.0,0.25
codekoala,train,Human,106.13,0.68,61.806,17.862,90.764,0.0,0.0,0.0,0.0,0.0,99.1,0.718,72.356,11.294,119.8,106.13,0.68,61.806,17.862,90.764,29,0.0,0.064,1.074,1.0,0.267,0.0,0.579,5.8,2.0,9.066,0.0,0.0,1.0,1.0,0.0,26,5,0.0,0.064,1.074,1.0,0.267,0.963
codeforiatibot,train,Bot,0.001,0.093,0.004,0.004,0.001,0.637,0.056,0.764,1.018,0.674,,0.0,,,0.0,0.002,0.084,0.008,0.008,0.001,297,147.5,0.497,148.5,148.5,208.597,0.0,0.0,297.0,297.0,0.0,81.5,0.366,99.0,132.0,86.366,1,1,0.0,0.0,1.0,1.0,0.0,0.5
ibm-ci-bot,train,Bot,10.944,0.792,12.356,1.082,26.728,0.925,0.805,3.174,0.0,12.417,1.81,0.8,2.321,0.116,4.727,3.719,0.849,7.304,0.479,20.518,112,18.75,0.391,14.0,10.0,10.664,39.0,0.464,37.333,24.0,40.673,1.0,0.382,2.113,1.0,1.783,1,3,1.0,0.151,2.375,2.5,0.744,0.125
bert-e,train,Bot,2.597,0.809,5.202,0.411,11.777,0.072,0.895,2.784,0.0,11.877,0.073,0.937,1.901,0.001,8.807,0.319,0.907,2.542,0.006,9.469,178,16.0,0.521,17.8,12.0,19.993,23.0,0.452,35.6,24.0,34.093,3.0,0.465,3.123,2.0,3.03,1,5,0.0,0.163,3.5,4.0,1.354,0.1
jcdickinson,train,Human,37.942,0.704,31.801,11.911,50.877,0.037,0.814,2.236,0.0,10.648,10.804,0.837,13.912,0.104,32.869,2.739,0.87,13.047,0.124,35.239,129,3.0,0.644,4.607,1.0,8.474,6.5,0.62,9.214,4.0,16.702,1.0,0.54,2.58,1.0,4.998,20,14,1.0,0.314,1.714,1.0,1.213,0.714
oxide-renovate[bot],train,Bot,0.44,0.837,4.574,0.04,10.118,0.001,0.978,0.71,0.001,6.495,0.03,0.908,2.271,0.001,7.063,0.039,0.918,2.297,0.003,7.605,229,25.25,0.464,22.9,14.0,21.346,60.5,0.456,38.167,38.0,35.51,1.25,0.332,2.29,2.0,1.754,1,6,2.0,0.315,2.6,3.0,1.647,0.1
nrel-bot-2c,train,Bot,0.245,0.846,0.456,0.096,1.838,0.155,0.78,2.878,0.0,13.792,0.245,0.846,0.456,0.096,1.838,0.49,0.904,2.141,0.158,10.932,264,19.0,0.072,132.0,132.0,26.87,59.5,0.301,88.0,81.0,59.808,1.0,0.291,1.562,1.0,1.845,2,3,0.5,0.167,1.5,1.5,0.707,1.0
slack-oss-bot,train,Bot,0.021,0.791,4.65,0.009,9.145,0.017,0.884,3.714,0.002,12.387,0.016,0.841,3.515,0.002,7.955,0.014,0.895,2.316,0.002,6.596,194,86.5,0.503,48.5,44.5,53.694,1.0,0.373,38.8,33.0,32.912,4.0,0.426,3.593,2.5,3.062,1,5,2.5,0.292,3.0,3.0,1.826,0.25
phillip-ground[bot],train,Bot,5.662,0.732,3.111,0.187,5.018,0.0,0.721,0.52,0.0,2.161,0.041,0.927,0.499,0.001,1.936,0.211,0.812,2.002,0.062,4.179,208,26.5,0.334,29.714,34.0,19.137,21.75,0.635,34.667,15.0,54.143,0.0,0.414,1.809,1.0,3.162,1,6,3.0,0.381,2.571,1.0,2.07,0.143
adafruit-adabot,train,Bot,18.376,0.589,20.888,12.036,26.489,0.001,0.765,18.765,0.0,50.321,23.954,0.729,16.541,0.001,28.048,23.973,0.696,16.744,2.499,26.299,130,2.0,0.755,7.647,1.0,19.58,46.0,0.548,26.0,4.0,31.313,1.0,0.422,2.364,2.0,2.467,2,5,0.0,0.193,1.294,1.0,0.686,0.118
wojcikstefan,train,Human,148.709,0.736,95.623,13.582,166.726,0.0,0.482,20.244,0.0,54.97,148.414,0.696,102.585,35.576,164.345,69.033,0.789,61.332,0.661,126.643,24,1.0,0.519,2.667,1.0,3.937,2.75,0.417,3.0,2.0,2.619,0.0,0.385,1.846,1.0,1.908,9,8,1.0,0.296,1.667,1.0,1.118,1.0
psalm-github-bot[bot],train,Bot,5.626,0.236,11.935,11.935,7.956,1005.151,0.475,687.169,51.205,1146.152,,0.0,,,0.0,46.557,0.565,34.186,20.389,38.353,62,30.0,0.484,31.0,31.0,42.426,0.0,0.0,62.0,62.0,0.0,27.5,0.591,20.667,5.0,30.665,2,1,0.0,0.0,1.0,1.0,0.0,1.0
rhshadrach,train,Human,1.704,0.792,1.895,0.172,4.264,0.328,0.808,1.137,0.009,3.806,0.536,0.86,1.381,0.096,3.892,0.384,0.853,1.258,0.104,3.546,173,36.0,0.43,34.6,34.0,29.653,18.0,0.51,14.417,11.5,14.482,2.0,0.414,2.403,2.0,2.311,4,12,4.0,0.463,3.8,2.0,3.834,0.8
decentraland-bot,train,Bot,20.38,0.738,16.039,3.026,33.996,3.047,0.677,13.703,0.0,35.115,13.695,0.702,9.09,1.74,14.134,20.037,0.724,14.241,2.823,27.089,121,21.0,0.508,20.167,12.5,21.812,53.5,0.442,60.5,60.5,75.66,1.0,0.4,2.086,1.0,2.13,1,2,0.75,0.133,1.667,2.0,0.516,0.167
sighrobot,train,Human,,0.0,,,0.0,0.0,0.0,1626.619,1626.619,0.0,17.757,0.817,80.243,8.814,190.198,99.041,0.776,90.368,8.814,177.219,19,0.0,0.0,19.0,19.0,0.0,0.0,0.379,3.8,2.0,4.025,0.0,0.0,19.0,19.0,0.0,1,5,0.0,0.0,5.0,5.0,0.0,1.0
sd-buildbot,train,Bot,14.813,0.738,15.913,4.83,38.636,0.003,0.787,10.07,0.0,28.149,1.215,0.855,2.91,0.002,7.091,9.0,0.797,10.078,1.839,27.48,216,4.0,0.681,12.706,5.0,28.853,49.5,0.613,54.0,18.0,82.369,2.0,0.428,2.571,2.0,2.557,1,4,2.0,0.212,2.118,2.0,0.857,0.059
tnrich,train,Human,60.301,0.757,50.077,3.185,87.036,0.002,0.737,47.233,0.0,178.128,8.192,0.863,18.82,0.134,49.707,18.614,0.841,23.277,0.222,54.086,95,5.5,0.712,11.875,2.5,24.038,8.0,0.545,8.636,6.0,10.93,0.5,0.684,4.13,1.0,10.328,7,11,1.75,0.455,2.75,1.5,2.866,0.875
petersilva,train,Human,7.938,0.754,6.878,0.966,12.988,1.906,0.776,12.571,0.203,31.86,2.841,0.839,5.368,0.368,13.376,1.403,0.857,4.139,0.239,11.354,192,25.0,0.656,38.4,8.0,61.248,17.5,0.55,16.0,7.5,18.071,5.0,0.558,4.683,2.0,6.146,2,12,1.0,0.354,5.2,4.0,4.087,0.4
guardrails[bot],train,Bot,0.942,0.522,0.787,0.436,0.851,0.0,0.87,0.003,0.0,0.036,,0.0,,,0.0,0.957,0.576,0.694,0.418,0.837,297,1.0,0.561,2.912,1.0,5.09,0.0,0.0,297.0,297.0,0.0,0.0,0.115,1.138,1.0,0.605,47,1,0.0,0.0,1.0,1.0,0.0,0.461
bonny,train,Human,17.146,0.697,18.769,2.518,30.082,166.899,0.581,143.955,2.022,243.936,6.862,0.81,11.781,0.468,25.775,4.172,0.828,10.431,0.301,24.053,202,15.0,0.75,40.4,1.0,79.98,13.0,0.613,15.538,10.0,22.423,16.0,0.587,15.538,12.0,18.446,2,13,2.0,0.533,3.6,1.0,4.775,0.4
jiangying000,train,Human,77.121,0.52,64.377,53.121,67.299,0.0,0.593,0.895,0.0,3.666,76.188,0.576,56.264,32.486,67.633,73.404,0.621,49.753,24.96,64.299,43,0.75,0.343,1.654,1.0,2.153,9.0,0.485,6.143,2.0,6.094,0.0,0.211,1.303,1.0,1.075,24,7,0.0,0.113,1.154,1.0,0.368,0.923
cryptix,train,Human,38.854,0.654,33.024,20.982,46.787,1.373,0.764,47.626,0.01,130.262,8.57,0.859,17.307,0.171,50.581,3.197,0.877,10.164,0.221,35.129,212,1.75,0.799,15.143,1.0,34.917,8.25,0.654,17.667,6.0,30.955,3.5,0.701,7.852,2.0,13.646,12,12,1.0,0.408,2.214,1.0,2.119,0.857
nsmbot,train,Bot,0.002,0.98,0.076,0.001,0.773,0.0,0.918,0.033,0.0,0.265,0.004,0.97,0.123,0.001,0.866,0.003,0.975,0.077,0.001,0.683,193,1.0,0.586,7.72,3.0,12.785,1.75,0.017,48.25,48.5,1.708,0.0,0.253,1.419,1.0,1.008,1,4,0.0,0.131,3.0,3.0,0.866,0.04
scottbot,train,Human,,0.0,,,0.0,0.0,0.0,1290.632,1290.632,0.0,,0.0,,,0.0,290.808,0.368,322.658,350.467,247.308,5,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
trendmicro-frontend-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1584.729,1584.729,0.0,,0.0,,,0.0,237.348,0.528,121.902,87.579,123.47,14,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,14.0,14.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
kumakichi,train,Human,,0.0,,,0.0,0.0,0.0,1.269,1.269,0.0,0.116,0.642,0.129,0.057,0.192,0.111,0.639,0.091,0.036,0.135,15,0.0,0.0,15.0,15.0,0.0,4.0,0.373,3.0,2.0,2.345,0.0,0.0,15.0,15.0,0.0,1,5,0.0,0.0,5.0,5.0,0.0,1.0
rs,train,Human,23.425,0.82,22.809,1.408,63.017,0.936,0.784,7.8,0.0,23.218,5.883,0.87,13.991,0.094,46.844,0.874,0.905,9.864,0.071,38.876,219,6.0,0.669,11.526,5.0,23.244,12.0,0.583,14.6,8.0,20.402,2.0,0.513,3.085,1.0,4.368,8,15,2.0,0.379,2.368,2.0,1.978,0.421
cloudkite,train,Human,302.475,0.601,211.542,176.083,270.981,26.609,0.496,27.711,0.0,55.999,302.475,0.665,186.997,67.244,276.889,56.429,0.821,77.893,1.212,176.399,29,2.5,0.565,3.625,1.0,5.208,5.75,0.534,4.833,2.0,5.672,1.75,0.528,2.9,1.0,4.332,8,6,0.25,0.15,1.25,1.0,0.463,1.0
devtools-bot,train,Bot,,0.0,,,0.0,0.0,0.0,482.534,482.534,0.0,,0.0,,,0.0,0.0,0.0,482.534,482.534,0.0,2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
adyenautomationbot,train,Bot,0.175,0.931,3.991,0.007,15.723,0.0,0.921,0.364,0.0,2.545,0.198,0.936,4.031,0.005,16.94,0.114,0.941,2.864,0.007,12.944,246,24.0,0.353,22.364,22.0,14.555,15.0,0.509,49.2,24.0,62.464,1.0,0.285,1.519,1.0,1.509,1,5,2.5,0.233,3.545,4.0,1.695,0.091
kebot,train,Human,185.878,0.45,154.545,158.458,131.908,0.0,0.666,6.029,0.0,22.548,162.483,0.656,110.914,44.726,152.692,187.989,0.634,99.69,47.355,126.037,22,0.0,0.409,1.833,1.0,2.588,4.0,0.5,3.667,1.5,4.082,0.0,0.305,1.571,1.0,1.284,12,6,0.0,0.219,1.333,1.0,0.888,1.0
devexpressexamplebot,train,Bot,0.016,0.98,1.876,0.004,14.52,0.0,0.829,0.01,0.0,0.069,0.012,0.832,0.036,0.006,0.102,0.016,0.981,1.599,0.004,13.379,198,1.0,0.34,1.98,1.0,1.421,58.5,0.654,49.5,15.5,78.53,0.0,0.136,1.179,1.0,0.528,1,4,1.0,0.159,1.27,1.0,0.468,0.01
codebytere,train,Human,5.156,0.747,5.504,0.33,9.385,0.628,0.858,8.988,0.002,32.602,1.86,0.847,4.702,0.119,13.541,1.722,0.86,4.67,0.08,12.865,186,12.0,0.668,15.5,5.5,26.719,19.0,0.631,16.909,9.0,23.093,3.25,0.484,3.1,2.0,3.323,4,11,0.5,0.359,2.667,2.0,2.27,0.333
dpebot,train,Bot,0.675,0.633,0.557,0.241,0.768,0.001,0.744,0.026,0.0,0.1,0.712,0.561,0.672,0.363,0.777,0.367,0.735,0.362,0.084,0.656,272,4.0,0.552,4.857,3.0,8.227,69.0,0.254,136.0,136.0,97.581,1.0,0.318,1.609,1.0,1.585,4,2,0.0,0.0,1.0,1.0,0.0,0.071
dd32,train,Human,0.994,0.681,1.0,0.497,1.788,0.0,0.38,0.187,0.0,0.564,0.729,0.423,1.061,0.989,0.87,0.993,0.632,0.961,0.5,1.627,294,11.75,0.697,12.25,2.5,20.429,71.5,0.73,73.5,2.0,143.0,0.0,0.164,1.235,1.0,0.598,3,4,0.0,0.071,1.083,1.0,0.282,0.125
seratch,train,Human,3.887,0.849,8.584,0.424,24.252,0.01,0.846,0.387,0.0,1.972,1.111,0.893,5.965,0.101,20.994,1.109,0.896,5.196,0.104,18.898,172,11.0,0.624,8.19,2.0,11.205,21.0,0.492,13.231,9.0,12.343,1.0,0.33,1.72,1.0,1.45,4,13,3.0,0.461,2.905,2.0,2.862,0.19
michalbundyra,train,Human,0.609,0.924,33.45,0.035,115.736,0.011,0.865,0.285,0.0,1.569,0.163,0.944,24.46,0.027,99.707,0.163,0.95,21.37,0.027,93.049,61,6.25,0.395,7.625,6.0,5.975,9.0,0.526,6.1,2.5,6.574,1.0,0.293,1.564,1.0,1.373,5,10,1.5,0.281,3.0,2.5,1.69,0.625
ipfs-mgmt-read-write[bot],train,Bot,1.732,0.01,84.027,84.027,2.449,588.044,0.136,616.021,671.976,590.037,167.985,0.58,69.742,0.001,79.97,167.952,0.642,59.298,0.015,77.005,35,16.5,0.471,17.5,17.5,23.335,10.0,0.381,11.667,13.0,10.066,11.5,0.438,11.667,10.0,11.59,1,3,1.0,0.25,2.0,2.0,1.414,0.5
ndrwrbgs,train,Human,113.444,0.701,86.615,18.558,130.076,0.0,0.461,0.005,0.0,0.018,35.442,0.797,35.168,0.036,68.586,99.381,0.76,69.296,0.448,120.916,21,0.0,0.241,1.4,1.0,0.91,2.25,0.375,2.625,2.0,2.066,0.0,0.174,1.235,1.0,0.752,12,8,0.0,0.241,1.4,1.0,0.91,0.8
angular-robot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,527.951,527.951,0.0,,0.0,,,0.0,53.966,0.557,65.994,24.018,85.821,9,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
core23,train,Human,81.415,0.73,70.613,5.192,114.419,0.72,0.739,23.161,0.0,70.748,76.627,0.752,62.254,0.244,106.847,11.941,0.852,37.586,0.103,88.572,59,6.5,0.615,8.429,3.0,12.581,6.5,0.617,7.375,3.0,11.173,1.25,0.454,2.458,1.0,2.519,6,8,1.0,0.156,1.571,2.0,0.535,0.857
peril-bolt[bot],train,Bot,,0.0,,,0.0,0.0,0.0,1655.59,1655.59,0.0,,0.0,,,0.0,178.478,0.241,275.932,255.529,130.083,7,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
staltz,train,Human,247.163,0.782,281.402,0.74,554.468,1.762,0.732,21.418,0.001,58.538,13.289,0.915,92.865,0.189,317.298,7.693,0.923,82.352,0.191,299.129,27,1.75,0.599,4.5,1.5,7.148,2.75,0.495,3.375,1.5,3.815,2.0,0.532,3.375,1.5,4.779,5,8,1.5,0.361,2.0,1.0,1.673,0.833
alan-agius4,train,Human,0.444,0.91,3.712,0.064,12.493,0.055,0.912,2.755,0.0,16.667,0.447,0.93,3.148,0.041,13.397,0.43,0.931,3.23,0.039,13.306,144,15.5,0.597,20.571,9.0,29.421,16.75,0.416,12.0,13.5,9.254,1.0,0.386,2.0,1.0,1.823,6,12,3.5,0.396,3.714,3.0,2.928,0.857
daffl,train,Human,29.413,0.771,46.94,3.386,83.832,0.0,0.655,0.112,0.0,0.413,13.869,0.85,30.053,0.124,71.681,1.535,0.883,21.389,0.108,60.869,100,2.75,0.567,4.545,2.0,6.1,8.5,0.43,8.333,6.5,6.84,0.0,0.479,2.174,1.0,3.282,13,12,1.0,0.425,2.136,1.0,2.253,0.591
riknoll,train,Human,17.827,0.855,23.919,1.288,80.229,1.029,0.804,6.499,0.106,16.632,0.761,0.927,7.798,0.14,43.104,0.876,0.922,7.532,0.166,41.241,224,4.0,0.729,17.231,3.0,35.715,29.5,0.518,18.667,14.5,18.282,4.0,0.469,4.0,3.0,3.871,3,12,3.0,0.377,3.923,3.0,2.813,0.231
micronaut-build,train,Bot,0.142,0.893,1.364,0.055,4.374,0.0,0.869,0.034,0.0,0.354,0.04,0.936,0.18,0.002,0.893,0.136,0.896,1.275,0.055,4.199,286,3.0,0.355,3.667,3.0,2.485,129.5,0.604,95.333,13.0,147.832,0.0,0.082,1.096,1.0,0.414,1,3,0.0,0.176,1.256,1.0,0.612,0.013
tarantoolbot,train,Bot,46.675,0.56,39.133,14.391,48.656,2.508,0.738,28.875,0.0,100.044,46.675,0.56,39.133,14.391,48.656,44.626,0.609,33.917,14.391,43.244,60,8.0,0.133,30.0,30.0,11.314,8.0,0.133,30.0,30.0,11.314,1.0,0.408,2.0,1.0,2.181,1,2,0.0,0.0,1.0,1.0,0.0,0.5
dotnet-bot,train,Bot,0.189,0.749,0.17,0.03,0.315,0.06,0.72,0.07,0.0,0.238,0.062,0.819,0.098,0.012,0.264,0.099,0.775,0.128,0.02,0.284,283,14.0,0.527,12.304,8.0,15.107,28.25,0.703,47.167,15.5,84.279,1.0,0.323,1.874,1.0,1.593,3,6,1.0,0.273,1.609,1.0,0.941,0.13
alluxio-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1245.789,1245.789,0.0,41.759,0.758,35.112,1.877,63.438,73.764,0.741,65.568,14.48,111.597,20,0.0,0.0,20.0,20.0,0.0,7.0,0.45,5.0,4.0,4.899,0.0,0.0,20.0,20.0,0.0,1,4,0.0,0.0,4.0,4.0,0.0,1.0
cardano-bot,train,Bot,3.338,0.485,2.847,2.242,2.739,17.287,0.65,19.121,0.569,41.29,1.921,0.507,1.915,1.32,2.013,2.781,0.347,4.325,3.906,3.122,300,123.5,0.549,100.0,51.0,130.587,146.0,0.487,150.0,150.0,206.475,4.5,0.604,5.085,2.0,7.539,2,2,0.5,0.167,1.333,1.0,0.577,0.667
openjdk[bot],train,Bot,0.005,0.862,0.048,0.0,0.155,0.0,0.762,0.026,0.0,0.154,0.037,0.829,0.08,0.003,0.184,0.008,0.854,0.056,0.001,0.161,203,6.0,0.398,10.15,10.0,11.408,44.0,0.627,40.6,16.0,57.4,0.0,0.232,1.336,1.0,1.115,1,5,2.0,0.306,1.8,1.0,1.196,0.05
brickbots,train,Human,117.377,0.447,75.358,78.471,73.514,292.179,0.501,333.616,269.137,454.477,2.457,0.901,19.404,0.069,62.189,2.424,0.901,22.381,0.12,71.133,89,42.5,0.637,29.667,2.0,48.789,7.0,0.554,9.889,5.0,12.811,19.0,0.571,17.8,10.0,22.287,1,9,3.5,0.424,3.667,2.0,3.786,0.333
maestro-local-dev[bot],train,Bot,1.411,0.898,32.666,0.142,94.615,10.748,0.84,21.118,0.003,50.243,0.134,0.96,9.092,0.007,45.039,0.173,0.96,8.463,0.009,43.035,245,28.75,0.31,40.833,46.5,25.039,34.5,0.188,81.667,98.0,37.287,5.0,0.53,6.282,2.0,7.497,1,3,1.0,0.1,2.5,2.5,0.548,0.167
