contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
spyder-bot,train,Bot,,0.0,,,0.0,0.0,0.0,731.826,731.826,0.0,11.297,0.426,13.266,13.266,15.976,7.415,0.521,7.318,4.698,7.505,101,0.0,0.0,101.0,101.0,0.0,49.5,0.49,50.5,50.5,70.004,0.0,0.0,101.0,101.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
luciferyang,train,Human,1.542,0.826,2.709,0.339,7.108,0.203,0.817,2.551,0.0,9.336,1.212,0.839,2.593,0.227,6.629,1.16,0.842,2.515,0.222,6.663,255,4.0,0.775,15.0,2.0,33.612,47.25,0.515,25.5,17.0,25.194,1.0,0.404,2.09,1.0,2.201,6,10,1.0,0.35,2.118,2.0,1.616,0.353
rbott,train,Human,38.522,0.846,127.462,0.322,299.725,0.594,0.805,24.73,0.0,88.421,10.087,0.88,99.216,0.349,267.683,7.074,0.902,69.53,0.351,212.31,32,7.0,0.438,6.4,5.0,5.727,4.0,0.539,4.0,1.5,5.155,1.5,0.404,2.133,1.0,2.134,4,8,2.0,0.286,2.8,2.0,1.643,0.8
alexeagle,train,Human,2.163,0.832,3.999,0.311,10.599,0.071,0.921,2.823,0.0,17.329,0.791,0.89,3.048,0.081,10.162,0.768,0.89,2.827,0.074,9.355,224,7.0,0.602,7.724,4.0,12.256,19.0,0.546,17.231,14.0,18.727,2.0,0.441,2.409,1.0,2.968,11,13,4.0,0.353,3.069,3.0,2.017,0.379
v1r0x,train,Human,,0.0,,,0.0,0.0,0.0,2039.228,2039.228,0.0,12.378,0.813,11.705,0.266,24.498,18.41,0.796,14.671,0.567,29.094,140,0.0,0.0,140.0,140.0,0.0,14.0,0.648,15.556,7.0,26.302,0.0,0.0,140.0,140.0,0.0,1,9,0.0,0.0,9.0,9.0,0.0,1.0
swiftlintbot,train,Bot,,0.0,,,0.0,0.0,0.0,2074.716,2074.716,0.0,,0.0,,,0.0,42.43,0.625,31.435,21.744,46.935,67,0.0,0.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
codewitch-honey-crisis,train,Human,10.755,0.666,8.415,2.907,12.478,1.572,0.794,9.262,0.052,26.05,0.647,0.876,2.538,0.028,6.99,2.216,0.83,3.794,0.194,9.87,269,12.75,0.692,12.227,3.0,20.559,10.0,0.778,29.889,6.0,65.655,3.0,0.54,4.638,3.0,5.684,4,9,2.0,0.339,1.955,1.0,1.397,0.182
ecomplus-bot,train,Bot,3.407,0.711,3.265,0.87,5.428,0.084,0.845,0.663,0.0,3.485,0.13,0.587,0.098,0.032,0.142,0.859,0.834,1.71,0.147,4.446,300,6.5,0.565,6.977,4.0,8.844,148.5,0.66,100.0,1.0,171.473,1.0,0.439,2.29,1.0,2.805,1,3,0.0,0.043,1.047,1.0,0.305,0.023
fabiosantoscode,train,Human,24.325,0.681,21.371,3.787,31.991,0.0,0.813,0.47,0.0,2.983,25.56,0.734,21.519,2.606,38.851,23.96,0.744,16.385,0.143,29.099,133,29.75,0.626,13.3,2.0,18.27,3.5,0.757,12.091,3.0,29.002,0.0,0.231,1.33,1.0,1.28,6,11,0.0,0.378,1.8,1.0,1.932,0.6
ti-chi-bot,train,Bot,0.039,0.904,0.249,0.001,1.126,0.0,0.962,0.04,0.0,0.371,0.01,0.929,0.172,0.001,0.947,0.01,0.928,0.193,0.001,0.97,133,12.0,0.464,11.083,9.5,9.774,12.75,0.227,33.25,41.0,18.337,1.0,0.208,1.494,1.0,0.693,4,4,1.0,0.154,1.583,2.0,0.515,0.333
openshift-merge-robot,train,Bot,0.127,0.789,0.195,0.025,0.4,0.0,0.788,0.01,0.0,0.07,0.651,0.573,0.497,0.254,0.552,0.125,0.796,0.184,0.023,0.386,161,1.0,0.361,1.988,1.0,1.585,42.5,0.352,53.667,74.0,46.004,0.0,0.092,1.11,1.0,0.427,22,3,0.0,0.081,1.099,1.0,0.3,0.272
wstgbot,train,Bot,83.777,0.844,131.532,0.001,333.893,0.0,0.0,0.0,0.0,0.0,78.743,0.856,121.415,0.001,321.753,78.743,0.856,121.415,0.001,321.753,14,2.0,0.19,4.667,6.0,2.309,3.0,0.286,4.667,6.0,3.215,0.0,0.066,1.077,1.0,0.277,2,3,0.5,0.167,1.333,1.0,0.577,0.667
nb-bot,train,Bot,0.0,0.0,0.004,0.004,0.0,239.427,0.5,239.43,239.43,338.6,154.588,0.5,154.592,154.592,218.62,25.32,0.816,43.533,0.117,94.929,12,4.0,0.333,6.0,6.0,5.657,5.0,0.417,6.0,6.0,7.071,4.0,0.333,6.0,6.0,5.657,1,2,0.5,0.167,1.5,1.5,0.707,0.5
thegiga,train,Bot,95.694,0.715,95.354,38.086,173.228,0.06,0.669,15.836,0.0,47.043,53.075,0.79,96.048,13.792,197.846,20.623,0.864,32.536,0.503,101.124,63,1.75,0.675,6.3,1.5,11.086,1.5,0.744,7.875,1.0,17.86,1.0,0.613,3.316,1.0,6.634,7,8,0.0,0.273,1.5,1.0,1.08,0.7
vizipi[bot],train,Bot,26.166,0.667,22.59,8.229,38.829,0.0,0.678,4.413,0.0,18.435,,0.0,,,0.0,23.798,0.675,20.359,6.712,35.498,106,5.0,0.449,5.048,4.0,4.695,0.0,0.0,106.0,106.0,0.0,0.0,0.198,1.325,1.0,0.652,4,1,0.0,0.0,1.0,1.0,0.0,0.19
amigrave,train,Human,242.448,0.495,244.83,244.83,342.874,9.373,0.0,6.249,0.0,10.823,11.165,0.814,84.707,2.377,197.303,8.551,0.84,72.63,2.373,182.924,8,2.5,0.417,2.667,1.0,2.887,1.5,0.312,2.0,1.5,1.414,2.5,0.417,2.667,1.0,2.887,2,4,1.0,0.267,1.667,1.0,1.155,0.667
johnpbloch-bot,train,Bot,1.364,0.813,2.683,0.0,6.338,0.185,0.577,2.308,0.0,6.242,0.024,0.017,0.676,0.676,0.033,3.015,0.756,3.963,0.002,7.551,300,75.0,0.333,100.0,148.0,85.75,148.0,0.493,150.0,150.0,209.304,1.0,0.153,1.261,1.0,0.44,1,2,0.5,0.167,1.333,1.0,0.577,0.333
wetrobot,train,Human,45.105,0.095,237.102,237.102,63.788,531.279,0.636,371.286,51.296,599.21,0.0,0.819,47.421,0.001,102.207,38.164,0.855,113.433,0.001,286.62,15,1.5,0.1,7.5,7.5,2.121,1.5,0.1,7.5,7.5,2.121,1.5,0.133,5.0,6.0,1.732,1,2,0.0,0.0,2.0,2.0,0.0,0.5
git2gus[bot],train,Bot,6.72,0.704,8.673,2.918,16.386,0.009,0.927,0.923,0.001,4.629,29.745,0.567,20.037,10.001,24.133,2.58,0.859,4.056,0.005,11.681,297,23.25,0.537,11.423,3.5,12.094,103.5,0.348,148.5,148.5,146.371,3.0,0.358,2.357,1.5,1.607,5,2,0.0,0.036,1.038,1.0,0.196,0.192
althonos,train,Human,5.855,0.828,10.445,0.777,24.329,0.092,0.848,2.764,0.0,12.416,1.883,0.878,7.14,0.291,21.165,1.476,0.885,5.691,0.24,17.851,287,8.0,0.632,6.833,2.0,9.7,13.0,0.756,22.077,5.0,54.984,1.0,0.473,2.315,1.0,3.061,20,13,1.0,0.31,1.786,1.0,1.159,0.476
yizhou7,train,Human,118.958,0.629,69.702,24.11,90.987,202.929,0.536,206.677,2.441,384.13,42.442,0.743,42.575,0.758,84.092,27.79,0.659,26.436,12.005,40.087,82,2.0,0.732,16.4,2.0,32.769,19.5,0.713,20.5,1.0,39.0,17.5,0.607,10.25,2.0,13.177,4,4,0.0,0.133,1.2,1.0,0.447,0.8
actonmassbot,train,Bot,,0.0,,,0.0,0.0,0.0,2017.269,2017.269,0.0,,0.0,,,0.0,14.2,0.862,34.781,0.16,84.918,59,0.0,0.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
davetaz,train,Human,43.896,0.76,40.321,3.059,71.565,0.556,0.864,5.266,0.044,16.828,0.513,0.92,13.471,0.017,45.761,0.575,0.928,9.885,0.045,37.468,186,4.75,0.682,8.455,3.0,18.444,18.5,0.589,16.909,7.0,23.27,3.0,0.565,4.537,2.0,7.047,5,11,2.0,0.339,2.136,1.5,1.457,0.227
p3x-robot,train,Human,0.932,0.917,23.742,0.02,98.632,0.0,0.881,1.514,0.0,9.363,1.426,0.901,33.466,0.099,118.733,0.187,0.932,17.603,0.024,83.037,113,9.5,0.663,7.533,1.0,11.698,12.25,0.588,18.833,8.0,26.731,0.0,0.257,1.43,1.0,1.021,10,6,0.0,0.311,1.6,1.0,1.298,0.667
slimslenderslacks,train,Human,15.354,0.812,17.475,2.424,49.086,1.652,0.752,16.351,0.0,48.744,11.202,0.833,15.991,1.083,45.377,13.643,0.8,13.718,1.652,35.874,160,6.75,0.688,10.0,3.0,18.826,5.5,0.746,10.667,3.0,27.123,1.0,0.456,2.462,1.0,2.622,7,15,2.0,0.388,2.375,1.0,1.928,0.438
ddunkin,train,Human,48.952,0.824,86.095,9.742,215.323,0.374,0.416,0.408,0.0,0.796,27.335,0.862,70.694,1.268,197.988,15.519,0.885,54.09,1.232,172.162,17,2.5,0.441,2.833,1.5,2.787,0.5,0.235,2.429,2.0,1.272,1.0,0.246,1.545,1.0,0.82,5,7,0.75,0.3,1.667,1.0,1.211,0.833
zacharycmontoya,train,Human,17.13,0.714,13.899,2.772,23.451,2.731,0.803,14.762,0.003,47.205,7.377,0.806,11.131,1.16,24.486,4.695,0.839,10.646,0.877,31.041,172,10.0,0.735,14.333,1.0,26.116,11.25,0.652,17.2,5.0,25.832,2.0,0.468,2.688,1.5,3.152,4,10,2.25,0.422,2.417,1.0,2.234,0.333
infinitered-circleci,train,Bot,90.945,0.666,76.857,18.583,106.833,7.156,0.785,55.382,0.024,118.177,0.059,0.871,32.309,0.001,86.173,0.002,0.936,16.055,0.001,61.326,128,42.0,0.438,42.667,32.0,43.004,12.0,0.281,25.6,21.0,16.134,8.25,0.503,8.0,5.5,8.847,1,5,2.0,0.296,3.0,3.0,2.0,0.333
webtorrent-bot,train,Bot,2.771,0.84,45.245,1.0,105.688,0.003,0.937,47.378,0.005,189.469,0.008,0.929,17.737,0.001,68.705,0.001,0.958,11.224,0.001,55.201,129,6.0,0.438,12.9,7.0,13.119,4.0,0.422,25.8,21.0,24.854,2.5,0.387,8.062,5.0,7.937,1,5,0.0,0.08,4.0,4.0,0.667,0.1
artsy-peril[bot],train,Bot,3.434,0.779,4.801,0.94,10.96,0.223,0.857,2.633,0.0,13.31,1.802,0.812,3.538,0.416,8.846,2.455,0.815,4.74,0.558,12.254,138,3.0,0.7,8.625,2.0,15.139,40.0,0.386,46.0,50.0,40.15,1.0,0.276,1.568,1.0,1.026,1,3,0.25,0.188,1.312,1.0,0.602,0.062
csigs,train,Bot,9.929,0.553,6.587,4.443,6.895,0.002,0.929,2.314,0.0,13.511,6.379,0.663,4.089,1.965,5.411,7.421,0.703,5.114,0.736,7.458,266,10.0,0.476,14.0,8.0,14.799,53.5,0.391,44.333,44.0,35.138,1.0,0.282,1.739,1.0,1.151,6,6,0.5,0.13,2.263,2.0,0.653,0.316
hawkbit-bot,train,Bot,106.02,0.408,88.404,93.141,75.687,268.5,0.568,366.41,0.719,678.833,52.933,0.638,45.342,25.792,59.115,19.167,0.773,19.173,2.167,38.118,115,52.5,0.457,57.5,57.5,74.246,27.25,0.676,28.75,4.0,50.849,9.0,0.713,23.0,4.0,42.644,1,4,1.0,0.25,2.0,2.0,1.414,0.5
graviteeio,train,Bot,0.657,0.92,4.566,0.084,17.3,0.005,0.929,0.19,0.001,0.814,0.028,0.962,1.088,0.001,8.528,0.003,0.973,1.111,0.001,8.507,181,6.75,0.319,8.227,6.5,5.089,37.0,0.579,25.857,13.0,31.083,3.5,0.345,4.209,3.0,2.858,1,7,1.0,0.15,3.091,3.0,0.921,0.045
