contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
spyder-bot,train,Bot,101,2,1,1,1.0,101.0,101.0,0.0,0.0,0.0,50.5,50.5,70.004,0.49,49.5,101.0,101.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,731.826,731.826,0.0,0.0,0.0,,,0.0,0.0,,7.318,4.698,7.505,0.521,7.415,13.266,13.266,15.976,0.426,11.297
luciferyang,train,Human,255,10,17,6,0.353,15.0,2.0,33.612,0.775,4.0,25.5,17.0,25.194,0.515,47.25,2.09,1.0,2.201,0.404,1.0,2.118,2.0,1.616,0.35,1.0,2.551,0.0,9.336,0.817,0.203,2.709,0.339,7.108,0.826,1.542,2.515,0.222,6.663,0.842,1.16,2.593,0.227,6.629,0.839,1.212
rbott,train,Human,32,8,5,4,0.8,6.4,5.0,5.727,0.438,7.0,4.0,1.5,5.155,0.539,4.0,2.133,1.0,2.134,0.404,1.5,2.8,2.0,1.643,0.286,2.0,24.73,0.0,88.421,0.805,0.594,127.462,0.322,299.725,0.846,38.522,69.53,0.351,212.31,0.902,7.074,99.216,0.349,267.683,0.88,10.087
alexeagle,train,Human,224,13,29,11,0.379,7.724,4.0,12.256,0.602,7.0,17.231,14.0,18.727,0.546,19.0,2.409,1.0,2.968,0.441,2.0,3.069,3.0,2.017,0.353,4.0,2.823,0.0,17.329,0.921,0.071,3.999,0.311,10.599,0.832,2.163,2.827,0.074,9.355,0.89,0.768,3.048,0.081,10.162,0.89,0.791
v1r0x,train,Human,140,9,1,1,1.0,140.0,140.0,0.0,0.0,0.0,15.556,7.0,26.302,0.648,14.0,140.0,140.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,2039.228,2039.228,0.0,0.0,0.0,,,0.0,0.0,,14.671,0.567,29.094,0.796,18.41,11.705,0.266,24.498,0.813,12.378
swiftlintbot,train,Bot,67,1,1,1,1.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2074.716,2074.716,0.0,0.0,0.0,,,0.0,0.0,,31.435,21.744,46.935,0.625,42.43,,,0.0,0.0,
codewitch-honey-crisis,train,Human,269,9,22,4,0.182,12.227,3.0,20.559,0.692,12.75,29.889,6.0,65.655,0.778,10.0,4.638,3.0,5.684,0.54,3.0,1.955,1.0,1.397,0.339,2.0,9.262,0.052,26.05,0.794,1.572,8.415,2.907,12.478,0.666,10.755,3.794,0.194,9.87,0.83,2.216,2.538,0.028,6.99,0.876,0.647
ecomplus-bot,train,Bot,300,3,43,1,0.023,6.977,4.0,8.844,0.565,6.5,100.0,1.0,171.473,0.66,148.5,2.29,1.0,2.805,0.439,1.0,1.047,1.0,0.305,0.043,0.0,0.663,0.0,3.485,0.845,0.084,3.265,0.87,5.428,0.711,3.407,1.71,0.147,4.446,0.834,0.859,0.098,0.032,0.142,0.587,0.13
fabiosantoscode,train,Human,133,11,10,6,0.6,13.3,2.0,18.27,0.626,29.75,12.091,3.0,29.002,0.757,3.5,1.33,1.0,1.28,0.231,0.0,1.8,1.0,1.932,0.378,0.0,0.47,0.0,2.983,0.813,0.0,21.371,3.787,31.991,0.681,24.325,16.385,0.143,29.099,0.744,23.96,21.519,2.606,38.851,0.734,25.56
ti-chi-bot,train,Bot,133,4,12,4,0.333,11.083,9.5,9.774,0.464,12.0,33.25,41.0,18.337,0.227,12.75,1.494,1.0,0.693,0.208,1.0,1.583,2.0,0.515,0.154,1.0,0.04,0.0,0.371,0.962,0.0,0.249,0.001,1.126,0.904,0.039,0.193,0.001,0.97,0.928,0.01,0.172,0.001,0.947,0.929,0.01
